学院部门名称,板块名称,链接
岭南学院,官网,http://lingnan.sysu.edu.cn
,本科项目,http://lingnan.sysu.edu.cn/undergraduateprogram/
,本科项目——通知公告,http://lingnan.sysu.edu.cn/undergraduateprogram/notice
,硕士项目,http://lingnan.sysu.edu.cn/postgraduateprogram/
,硕士项目——通知公告,http://lingnan.sysu.edu.cn/postgraduateprogram/notice
,硕士项目——招生信息,http://lingnan.sysu.edu.cn/postgraduateprogram/taxonomy/term/107
,博士项目,http://lingnan.sysu.edu.cn/doctorprogram/
,博士项目——通知公告,http://lingnan.sysu.edu.cn/doctorprogram/notice
管理学院,官网,http://bus.sysu.edu.cn
,新闻速递,http://bus.sysu.edu.cn/col_news
,活动预告,http://bus.sysu.edu.cn/foreshow
,本科生信息,http://bus.sysu.edu.cn/Undergraduate
,研究生信息,http://bus.sysu.edu.cn/Postgraduate
,科研信息,http://bus.sysu.edu.cn/research-information
,人事信息,http://bus.sysu.edu.cn/personnel-information
,行政信息,http://bus.sysu.edu.cn/trade-unions
数据科学与计算机学院,官网,http://sdcs.sysu.edu.cn
,教务通知,http://sdcs.sysu.edu.cn/bk/jw
,学工通知,http://sdcs.sysu.edu.cn/student/notice
,学术活动,http://sdcs.sysu.edu.cn/research/activity
数学学院（广州）,官网,http://math.sysu.edu.cn
,通知公告,http://math.sysu.edu.cn/notice
,教学信息,http://math.sysu.edu.cn/taxonomy/term/145
,学生工作,http://math.sysu.edu.cn/student
外国语学院,官网,http://fls.sysu.edu.cn
,学生工作,http://fls.sysu.edu.cn/students
,本科生教育,http://fls.sysu.edu.cn/jx/bk
材料科学与工程学院,官网,http://mse.sysu.edu.cn
,通知公告,http://mse.sysu.edu.cn/notice
心理学系,官网,http://psy.sysu.edu.cn
,学术交流,http://psy.sysu.edu.cn/notice
,教务通知,http://psy.sysu.edu.cn/cat/129
物理学院,官网,http://spe.sysu.edu.cn
,教务信息,http://spe.sysu.edu.cn/education/1/jwxx
化学学院,官网,http://ce.sysu.edu.cn/zh-hans
,本科生教育,http://ce.sysu.edu.cn/zh-hans/SchoolAffairs/Management
传播与设计学院,官网,http://scd.sysu.edu.cn
,最新消息,http://scd.sysu.edu.cn/news
法学院,官网,http://law.sysu.edu.cn
,通知公告,http://law.sysu.edu.cn/notification
智能工程学院,官网,http://ise.sysu.edu.cn
,最新通知,http://ise.sysu.edu.cn/notice/index.htm
电子与信息工程学院,官网,http://seit.sysu.edu.cn
,本科生教育,http://seit.sysu.edu.cn/jw
环境科学与工程学院,官网,http://sese.sysu.edu.cn
,教学教务,http://sese.sysu.edu.cn/education
,通知公告,http://sese.sysu.edu.cn/notice
生命科学学院,官网,http://lifesciences.sysu.edu.cn
,学院通知,http://lifesciences.sysu.edu.cn/office-notices
,本科生教育,http://lifesciences.sysu.edu.cn/under-graduate
生物医学工程学院,官网,http://bme.sysu.edu.cn
,教务通知,http://bme.sysu.edu.cn/noticejw/index.htm
,学工通知,http://bme.sysu.edu.cn/noticexg/index.htm
政治与公共事务管理学院,官网,http://sog.sysu.edu.cn
,学院通知,http://sog.sysu.edu.cn/zh-hans/tongzhi
资讯管理学院,官网,http://ischool.sysu.edu.cn
,本科教务,http://ischool.sysu.edu.cn/cn/-ben-ke-jiao-wu
哲学系（广州）,官网,http://philosophy.sysu.edu.cn
,本科教务,http://philosophy.sysu.edu.cn/xw/xw01/index.htm
哲学系（珠海）,官网,http://phil-zh.sysu.edu.cn
,教务通知,http://phil-zh.sysu.edu.cn/zh-hans/taxonomy/term/223
数学学院（珠海）,官网,http://mathzh.sysu.edu.cn
,教学教务,http://mathzh.sysu.edu.cn/teach
国际翻译学院,官网,http://sti.sysu.edu.cn
,公告栏,http://sti.sysu.edu.cn/zh-hans/gonggao?page=1
大气科学学院,官网,http://atmos.sysu.edu.cn
,教学教务,http://atmos.sysu.edu.cn/SchoolAffairs
,通知公告,http://atmos.sysu.edu.cn/Announcement
海洋科学学院,官网,http://marine.sysu.edu.cn
,教学与教务,http://marine.sysu.edu.cn/taxonomy/term/153
地理科学与规划学院,官网,http://gp.sysu.edu.cn
,学生工作,http://gp.sysu.edu.cn/taxonomy/term/167
,本科教育,http://gp.sysu.edu.cn/taxonomy/term/180
,研究生教育,http://gp.sysu.edu.cn/taxonomy/term/184
地球科学与工程学院,官网,http://gs.sysu.edu.cn
,教务教学,http://gs.sysu.edu.cn/taxonomy/term/330
航空航天学院,官网,http://saa.sysu.edu.cn
,最新通知,http://saa.sysu.edu.cn/notice/index.htm
中山医学院,官网,http://zssom.sysu.edu.cn
,本科教育,http://zssom.sysu.edu.cn/zh-hans/cat/177
,研究生教育,http://zssom.sysu.edu.cn/zh-hans/cat/178
旅游学院,官网,http://stm.sysu.edu.cn
,本科生教务,http://stm.sysu.edu.cn/jiaoxue/bks
公共卫生学院,官网,http://sph.sysu.edu.cn
,本科生教育,http://sph.sysu.edu.cn/taxonomy/term/110
,研究生教育,http://sph.sysu.edu.cn/taxonomy/term/111
护理学院,官网,http://nursing.sysu.edu.cn
,通知公告,http://nursing.sysu.edu.cn/notice